budget
""
$0
"$1,000"
"$82,500,000"
"$825,000"
"$83,000,000"
"$84,000,000"
"$85,000"
"$85,000,000"
"$850,000"
"$86,000,000"
"$87,000,000"
"$88,000,000"
"$880,000"
"$891,000"
"$9,000"
"$9,000,000"
"$9,200,000"
"$9,400,000"
"$9,500"
"$9,500,000"
"$9,600,000"
"$9,700,000"
"$9,750,000"
"$9,800,000"
"$9,980,000"
"$90,000"
"$90,000,000"
$900
"$900,000"
"$92,000,000"
"$93,000,000"
"$930,000"
"$937,000"
"$94,000,000"
"$944,149"
"$95,000,000"
"$950,000"
"$98,000,000"
"$980,000"
"$999,999"
"ARS2,500,000"
"ARS3,000,000"
"ATS70,000,000"
"AUD1,000,000"
"AUD1,200,000"
"AUD1,400,000"
"AUD1,500,000"
"AUD10,000,000"
"AUD11,000,000"
"AUD14,000,000"
"AUD15,000,000"
"AUD16,000,000"
"AUD2,000,000"
"AUD2,200,000"
"AUD2,350,000"
"AUD2,500,000"
"AUD2,600,000"
"AUD20,000"
"AUD200,000"
"AUD25,000,000"
"AUD26,900,000"
"AUD3,000,000"
"AUD3,465,000"
"AUD3,500,000"
"AUD3,800,000"
"AUD3,900,000"
"AUD30,000,000"
"AUD377,000"
"AUD4,300,000"
"AUD4,500,000"
"AUD4,800,000"
"AUD5,000,000"
"AUD500,000"
"AUD6,000,000"
"AUD6,500,000"
"AUD600,000"
"AUD8,140,500"
"AUD8,240,000"
"AUD8,500,000"
"AUD80,000"
"AUD850,000"
"BEF1,000,000"
"BGL1,200,000"
"BND8,000,000"
"BRL1,000,000"
"BRL1,600,000"
"BRL1,860,000"
"BRL12,000,000"
"BRL3,000,000"
"BRL3,500,000"
"BRL300,000"
"BRL4,000,000"
"BRL4,500,000"
"BRL5,000,000"
"BRL5,500,000"
"BRL5,900,000"
"BRL8,000,000"
"BRL80,000"
"BRL800,000"
"CAD1,000,000"
"CAD1,100,000"
"CAD1,180,000"
"CAD1,200,000"
"CAD1,300,000"
"CAD1,500,000"
"CAD1,600,000"
"CAD1,700,000"
"CAD1,850,000"
"CAD1,900,000"
"CAD1,960,000"
"CAD10,000"
"CAD10,000,000"
"CAD100,000"
"CAD11,000,000"
"CAD12,000,000"
"CAD14,340,000"
"CAD15,000"
"CAD2,000,000"
"CAD2,100,000"
"CAD2,200,000"
"CAD2,300,000"
"CAD2,500,000"
"CAD2,850,180"
"CAD20,000,000"
"CAD200,000"
"CAD275,000"
"CAD29,000"
"CAD3,000,000"
"CAD3,100,000"
"CAD3,200,000"
"CAD3,300,000"
"CAD3,400,000"
"CAD3,500,000"
"CAD300,000"
"CAD31,000,000"
"CAD338,663"
"CAD350,000"
"CAD365,000"
"CAD4,000,000"
"CAD4,300,000"
"CAD4,460,000"
"CAD4,500,000"
"CAD4,625,000"
"CAD4,700,000"
"CAD40,000"
"CAD450,000"
"CAD5,000,000"
"CAD5,400,000"
"CAD50,000"
"CAD500,000"
"CAD6,000,000"
"CAD6,400,000"
"CAD6,500,000"
"CAD6,750,000"
"CAD60,000"
"CAD600,000"
"CAD671,000"
"CAD675,000"
"CAD7,000,000"
"CAD750,000"
"CAD8,000,000"
"CAD8,500,000"
"CAD80,000"
"CAD800,000"
"CAD850,000"
"CAD900,000"
"CHF4,500,000"
"CHF5,000,000"
"CHF500,000"
"CLP153,000,000"
"CNY1,300,000"
"CNY10,000,000"
"CNY100,000,000"
"CNY20,000,000"
"CNY30,000,000"
"CNY553,632,000"
"COP175,000,000"
"CZK36,000,000"
"CZK84,450,000"
"DEM10,000,000"
"DEM11,500,000"
"DEM15,000,000"
"DEM16,000,000"
"DEM19,000,000"
"DEM2,500,000"
"DEM20,000,000"
"DEM3,500,000"
"DEM4,300,000"
"DEM42,000,000"
"DEM5,000,000"
"DEM5,800,000"
"DEM6,340,000"
"DEM7,000,000"
"DEM8,000,000"
"DEM8,400,000"
"DKK10,000,000"
"DKK12,600,000"
"DKK15,500,000"
"DKK16,500,000"
"DKK18,000,000"
"DKK18,400,000"
"DKK21,500,000"
"DKK22,000,000"
"DKK28,000,000"
"DKK3,600,000"
"DKK3,650,000"
"DKK35,000,000"
"DKK4,755,000"
"DKK45,000,000"
"DKK475,345"
"DKK50,000,000"
"DKK6,000,000"
"DKK6,500,000"
"DKK8,600,000"
"DKK86,000,000"
"EGP18,000,000"
"EGP3,500,000"
"ESP1,200,000"
"ESP125,000,000"
"ESP150,000,000"
"ESP200,000,000"
"ESP370,000,000"
"ESP400,000,000"
"ESP600,000,000"
"ESP700,000,000"
EUR1
"EUR1,000,000"
"EUR1,050,000"
"EUR1,062,000"
"EUR1,070,000"
"EUR1,087,000"
"EUR1,100,000"
"EUR1,152,065"
"EUR1,175,000"
"EUR1,189,000"
"EUR1,200,000"
"EUR1,245,000"
"EUR1,250,000"
"EUR1,259,000"
"EUR1,260,000"
"EUR1,280,000"
"EUR1,283,000"
"EUR1,300,000"
"EUR1,312,000"
"EUR1,320,000"
"EUR1,350,000"
"EUR1,360,000"
"EUR1,370,398"
"EUR1,380,000"
"EUR1,400,000"
"EUR1,420,571"
"EUR1,440,000"
"EUR1,448,260"
"EUR1,450,000"
"EUR1,479,000"
"EUR1,490,000"
"EUR1,500,000"
"EUR1,525,000"
"EUR1,526,000"
"EUR1,531,168"
"EUR1,552,000"
"EUR1,552,334"
"EUR1,583,017"
"EUR1,588,000"
"EUR1,600,000"
"EUR1,601,792"
"EUR1,620,000"
"EUR1,647,579"
"EUR1,650,000"
"EUR1,660,000"
"EUR1,670,000"
"EUR1,690,000"
"EUR1,700,000"
"EUR1,710,000"
"EUR1,730,000"
"EUR1,750,000"
"EUR1,790,000"
"EUR1,800,000"
"EUR1,850,000"
"EUR1,880,000"
"EUR1,900,000"
"EUR1,948,000"
"EUR10,000"
"EUR10,000,000"
"EUR10,290,000"
"EUR10,500,000"
"EUR100,000"
"EUR103,000"
"EUR104,000"
"EUR11,000,000"
"EUR11,500,000"
"EUR11,700,000"
"EUR12,000,000"
"EUR12,447,638"
"EUR12,500,000"
"EUR12,800,000"
"EUR13,000,000"
"EUR13,500,000"
"EUR13,580,000"
"EUR137,000"
"EUR14,000,000"
"EUR14,500,000"
"EUR149,979"
"EUR15,000"
"EUR15,000,000"
"EUR15,300,000"
"EUR15,400,000"
"EUR150,000"
"EUR151,436"
"EUR16,000,000"
"EUR17,000,000"
"EUR17,500,000"
"EUR170,000"
"EUR172,000"
"EUR18,000,000"
"EUR18,070,000"
"EUR185,000"
"EUR19,000,000"
EUR2
"EUR2,000"
"EUR2,000,000"
"EUR2,091,778"
"EUR2,100,000"
"EUR2,150,000"
"EUR2,200,000"
"EUR2,224,000"
"EUR2,270,000"
"EUR2,300,000"
"EUR2,390,000"
"EUR2,400,000"
"EUR2,460,000"
"EUR2,500,000"
"EUR2,590,000"
"EUR2,600,000"
"EUR2,700,000"
"EUR2,729,542"
"EUR2,750,000"
"EUR2,800,000"
"EUR2,850,000"
"EUR2,900,000"
"EUR20,000"
"EUR20,000,000"
EUR200
"EUR200,000"
"EUR208,742"
"EUR21,000"
"EUR21,166,000"
"EUR211,002"
"EUR22,000,000"
"EUR22,100,000"
"EUR220,000"
"EUR24,000,000"
"EUR24,400,000"
"EUR240,000"
"EUR244,000"
"EUR245,000"
"EUR25,000,000"
"EUR25,320,000"
"EUR250,000"
"EUR257,428"
"EUR27,440,000"
"EUR275,000"
"EUR28,000,000"
"EUR280,000"
"EUR286,000"
"EUR289,900"
"EUR295,000"
"EUR3,000,000"
"EUR3,100,000"
"EUR3,167,000"
"EUR3,200,000"
"EUR3,238,460"
"EUR3,300,000"
"EUR3,390,000"
"EUR3,400,000"
"EUR3,500,000"
"EUR3,520,000"
"EUR3,600,000"
"EUR3,660,000"
"EUR3,675,000"
"EUR3,700,000"
"EUR3,790,000"
"EUR3,800,000"
"EUR3,850,000"
"EUR3,875,000"
"EUR3,900,000"
"EUR30,000,000"
"EUR300,000"
"EUR301,500"
"EUR305,000"
"EUR31,340,000"
"EUR315,000"
"EUR32,000,000"
"EUR327,000"
"EUR33,000,000"
"EUR330,000"
"EUR35,000"
"EUR35,000,000"
"EUR350,000"
"EUR358,180"
"EUR36,100,000"
"EUR360,000"
"EUR382,241"
"EUR390,000"
"EUR390,240"
"EUR4,000"
"EUR4,000,000"
"EUR4,100,000"
"EUR4,200,000"
"EUR4,300,000"
"EUR4,400,000"
"EUR4,480,000"
"EUR4,500,000"
"EUR4,574,488"
"EUR4,576,591"
"EUR4,600,000"
"EUR4,700,000"
"EUR4,750,000"
"EUR4,773,906"
"EUR4,800,000"
"EUR4,830,000"
"EUR40,000"
"EUR40,000,000"
"EUR400,000"
"EUR411,555"
"EUR430,000"
"EUR450,000"
"EUR453,000"
"EUR480,800"
"EUR495,000"
"EUR5,000,000"
"EUR5,200,000"
"EUR5,210,000"
"EUR5,250,784"
"EUR5,284,200"
"EUR5,300,000"
"EUR5,310,000"
"EUR5,320,000"
"EUR5,328,737"
"EUR5,340,000"
"EUR5,350,000"
"EUR5,500,000"
"EUR5,555,559"
"EUR5,600,000"
"EUR5,650,000"
"EUR5,700,000"
"EUR5,800,000"
"EUR50,000"
EUR500
"EUR500,000"
"EUR522,600"
"EUR525,000"
"EUR526,000"
"EUR530,000"
"EUR537,000"
"EUR550,000"
"EUR554,828"
"EUR560,000"
"EUR560,400"
"EUR566,823"
"EUR57,050"
"EUR586,662"
"EUR59,660,000"
"EUR590,000"
"EUR6,000,000"
"EUR6,100,000"
"EUR6,300,000"
"EUR6,350,000"
"EUR6,400,000"
"EUR6,500,000"
"EUR6,750,000"
"EUR60,000"
"EUR600,000"
"EUR61,000,000"
"EUR62,000"
"EUR633,600"
"EUR65,000,000"
"EUR650,000"
"EUR668,952"
"EUR67,000"
"EUR7,000,000"
"EUR7,032,000"
"EUR7,124,618"
"EUR7,300,000"
"EUR7,350,000"
"EUR7,436,800"
"EUR7,450,000"
"EUR7,466,244"
"EUR7,500,000"
"EUR7,600,000"
"EUR7,700,000"
"EUR7,740,000"
"EUR7,788,176"
"EUR7,930,000"
"EUR700,000"
"EUR721,214"
"EUR740,000"
"EUR748,000"
"EUR750,000"
"EUR78,000,000"
"EUR790,000"
"EUR798,000"
"EUR8,000"
"EUR8,000,000"
"EUR8,300,000"
"EUR8,400,000"
"EUR8,500,000"
"EUR8,700,000"
"EUR8,900,000"
"EUR80,000"
"EUR800,000"
"EUR810,000"
"EUR830,000"
"EUR848,000"
"EUR849,302"
"EUR850,000"
"EUR860,000"
"EUR880,000"
"EUR9,000,000"
"EUR9,150,000"
"EUR9,200,000"
"EUR9,450,000"
"EUR9,500,000"
"EUR9,600,000"
"EUR9,700,000"
"EUR9,780,000"
"EUR90,000"
"EUR900,000"
"EUR930,679"
"EUR980,000"
"EUR983,081"
"FIM1,030,000"
"FIM1,555,960"
"FIM1,600,000"
"FIM1,881,976"
"FIM10,500,000"
"FIM100,000"
"FIM12,000,000"
"FIM12,614,904"
"FIM14,278,968"
"FIM14,373,000"
"FIM162,400"
"FIM2,000,000"
"FIM2,100,000"
"FIM2,880,002"
"FIM260,000"
"FIM3,120,375"
"FIM3,345,000"
"FIM3,411,266"
"FIM3,418,808"
"FIM3,500,000"
"FIM3,999,829"
"FIM320,000"
"FIM4,000,000"
"FIM4,140,000"
"FIM4,467,213"
"FIM4,773,394"
"FIM4,831,427"
"FIM440,000"
"FIM5,000,000"
"FIM5,234,794"
"FIM5,562,154"
"FIM5,874,828"
"FIM6,000,000"
"FIM6,275,088"
"FIM65,815"
"FIM655,500"
"FIM7,300,000"
"FIM7,400,000"
"FIM7,500,000"
"FIM700,000"
"FIM8,000,000"
"FIM8,500,000"
"FIM8,700,000"
"FIM8,823,603"
"FIM800,000"
"FRF1,400,000"
"FRF10,000,000"
"FRF100,000,000"
"FRF103,000,000"
"FRF105,000,000"
"FRF110,000,000"
"FRF115,000,000"
"FRF14,000,000"
"FRF140,000,000"
"FRF152,000,000"
"FRF160,000,000"
"FRF164,000,000"
"FRF165,000,000"
"FRF17,000,000"
"FRF18,000,000"
"FRF20,000,000"
"FRF21,000,000"
"FRF24,000,000"
"FRF25,000,000"
"FRF274,620,000"
"FRF29,000,000"
"FRF30,000,000"
"FRF327,000,000"
"FRF33,000,000"
"FRF39,000,000"
"FRF48,000,000"
"FRF49,000,000"
"FRF50,000,000"
"FRF53,000,000"
"FRF54,000,000"
"FRF60,000,000"
"FRF65,000,000"
"FRF7,000,000"
"FRF70,000,000"
"FRF71,500,000"
"FRF80,000,000"
"FRF82,000,000"
"FRF85,000,000"
"FRF95,130,000"
GBP0
"GBP1,000,000"
"GBP1,200,000"
"GBP1,250,000"
"GBP1,300,000"
"GBP1,365,000"
"GBP1,500"
"GBP1,500,000"
"GBP1,600,000"
"GBP1,700,000"
"GBP1,800,000"
"GBP1,900,000"
"GBP1,950,000"
"GBP10,000,000"
"GBP100,000"
"GBP102,000"
"GBP120,000"
"GBP125,000"
"GBP13,000,000"
"GBP13,500,000"
"GBP14,000"
"GBP140,000"
"GBP15,000,000"
"GBP150,000"
"GBP150,000,000"
"GBP180,000"
"GBP2,000,000"
"GBP2,100,000"
"GBP2,200,000"
"GBP2,300,000"
"GBP2,500,000"
"GBP2,800,000"
"GBP2,900,000"
"GBP20,000"
"GBP20,000,000"
"GBP200,000"
"GBP244,579"
"GBP25,000"
"GBP25,000,000"
"GBP250,000"
"GBP26,000,000"
"GBP260,000"
"GBP3,000"
"GBP3,000,000"
"GBP3,500,000"
"GBP3,500,159"
"GBP3,600,000"
"GBP3,700,000"
"GBP3,800,000"
"GBP3,950,000"
"GBP30,000"
"GBP300,000"
"GBP316,000"
"GBP35,000"
"GBP350,000"
"GBP4,000,000"
"GBP4,158,370"
"GBP4,300,000"
"GBP4,500"
"GBP4,500,000"
"GBP4,900,000"
"GBP40,000"
"GBP400,000"
"GBP450,000"
"GBP48,000"
"GBP5,000"
"GBP5,000,000"
"GBP500,000"
"GBP6,000,000"
"GBP6,400,000"
"GBP600,000"
"GBP612,650"
"GBP650,000"
"GBP695,393"
"GBP7,000"
"GBP7,000,000"
"GBP7,500,000"
"GBP700,000"
"GBP75,000"
"GBP750,000"
"GBP8,000"
"GBP8,000,000"
"GBP8,200,000"
"GBP850,000"
"GBP9,000,000"
"GBP9,800,000"
"GBP90,000"
"GBP900,000"
"GBP950,000"
"GBP960,000"
"HKD15,000,000"
"HKD2,000,000,000"
"HKD200,000,000"
"HKD30,000,000"
"HKD35,000,000"
"HKD40,000,000"
"HKD60,000,000"
"HKD80,000,000"
"HUF1,500,000"
"HUF100,000,000"
"HUF2,500,000,000"
"HUF300,000,000"
"HUF500,000,000"
"HUF700,000,000"
"HUF78,000,000"
"HUF80,000,000"
"HUF953,000,000"
"IDR2,000,000,000"
"IDR3,500,000,000"
"ILS10,000,000"
"ILS100,000"
"ILS110,000"
"INR1,000,000"
"INR1,091,250"
"INR1,150,000,000"
"INR1,900,000,000"
"INR100,000,000"
"INR102,000,000"
"INR120,000,000"
"INR130,000,000"
"INR140,000,000"
"INR150,000,000"
"INR170,000,000"
"INR180,000,000"
"INR184,000,000"
"INR20,000,000"
"INR200,000,000"
"INR220,000,000"
"INR240,000,000"
"INR270,000,000"
"INR300,000,000"
"INR35,000,000"
"INR350,000,000"
"INR370,000,000"
"INR40,000,000"
"INR400,000,000"
"INR420,000,000"
"INR45,000,000"
"INR450,000,000"
"INR5,100,000"
"INR50,000,000"
"INR500,000,000"
"INR530,000,000"
"INR550,000,000"
"INR60,000,000"
"INR600,000,000"
"INR7,000,000"
"INR8,000,000"
"INR80,000,000"
"INR930,000,000"
"IRR4,000,000,000"
IRR999
"ISK130,000,000"
"ISK137,000,000"
"ISK140,000,000"
"ISK180,000,000"
"ITL5,000,000,000"
"ITL7,000,000,000"
"JPY1,000,000"
"JPY1,000,000,000"
"JPY1,300,000,000"
"JPY120,000,000"
"JPY2,000,000"
"JPY2,000,000,000"
"JPY2,400,000,000"
"JPY3,000,000"
"JPY300,000,000"
"JPY5,000,000,000"
"JPY500,000"
"JPY600,000,000"
"JPY7,000,000"
"KRW1,300,000,000"
"KRW10,000,000"
"KRW10,000,000,000"
"KRW12,215,500,000"
"KRW2,700,000,000"
"KRW28,000,000"
"KRW30,000,000,000"
"KRW370,000,000"
"KRW38,000,000"
"KRW4,200,000,000"
"KRW8,000,000,000"
"KRW900,000,000"
"LTL1,000,000"
"LVL2,197,496"
"MXN12,000,000"
"MXN15,000,000"
"MXN37,700,000"
"MXN60,000,000"
"MYR40,000"
"MYR60,000"
NA
"NGN1,270,000,000"
"NLG30,000,000"
"NOK10,200,000"
"NOK13,000,000"
"NOK13,720,000"
"NOK14,000,000"
"NOK14,500,000"
"NOK141,000,000"
"NOK15,000,000"
"NOK15,155,100"
"NOK15,250,000"
"NOK15,500,000"
"NOK17,100,000"
"NOK17,500,000"
"NOK17,900,000"
"NOK18,000,000"
"NOK19,900,000"
"NOK20,000,000"
"NOK21,277,000"
"NOK22,000,000"
"NOK25,000,000"
"NOK30,300,000"
"NOK35,000,000"
"NOK38,500,000"
"NOK4,000,000"
"NOK50,000,000"
"NOK54,000,000"
"NOK6,000,000"
"NOK6,400,000"
"NOK6,500,000"
"NOK6,950,000"
"NOK60,000,000"
"NOK70,000,000"
"NOK8,000,000"
"NOK890,000"
"NZD1,600,000"
"NZD120,000"
"NZD13,000,000"
"NZD3,000,000"
"NZD3,500,000"
"NZD350,000"
"NZD5,950,000"
"NZD7,000,000"
"PHP40,000"
"PLN1,000,000"
"PLN12,500,000"
"PLN2,000,000"
"PLN24,000,000"
"PLN3,000,000"
"PLN3,200,000"
"PLN3,500,000"
"PLN3,853,097"
"PLN34,148,170"
"PLN4,651,916"
"PLN5,668,688"
"PLN6,000,000"
"PLN6,500,000"
"PLN9,000,000"
"PTE260,000,000"
"RUR84,000,000"
"SEK10,000,000"
"SEK11,700,000"
"SEK13,000,000"
"SEK13,800,000"
"SEK15,000,000"
"SEK15,450,000"
"SEK16,500,000"
"SEK17,000,000"
"SEK17,500,000"
"SEK19,400,000"
"SEK2,700,000"
"SEK210,000,000"
"SEK22,000,000"
"SEK24,500,000"
"SEK25,000,000"
"SEK250,000"
"SEK26,000,000"
"SEK28,000,000"
"SEK29,000,000"
"SEK32,000,000"
"SEK34,000,000"
"SEK39,000,000"
"SEK4,400,000"
"SEK40,000,000"
"SEK45,000,000"
"SEK48,000,000"
"SEK5,000,000"
"SEK5,055,000"
"SEK5,500,000"
"SEK50,000,000"
"SEK6,000,000"
"SEK63,000,000"
"SEK700,000"
"SEK80,000"
"SEK9,000,000"
"SEK9,500,000"
"SGD200,000"
"SGD4,500,000"
"SIT60,000,000"
"THB119,000,000"
"THB200,000,000"
"THB300,000,000"
"THB400,000,000"
"THB60,000,000"
"TRL1,200,000"
"TWD18,000,000"
"TWD45,000,000"
"TWD50,000,000"
"UAH10,000"
"VEB4,273,248"
"ZAR10,000,000"
